Sentence #,Word,Tag
Sentence: 1,Immunohistochemical,O
,staining,O
,was,O
,positive,O
,for,O
,S,B-B.GENE
,-,I-I.GENE
,100,I-I.GENE
,in,O
,all,O
,9,O
,cases,O
,stained,O
,",",O
,positive,O
,for,O
,HMB,B-B.GENE
,-,I-I.GENE
,45,I-I.GENE
,in,O
,9,O
,(,O
,90,O
,%,O
,),O
,of,O
,10,O
,",",O
,and,O
,negative,O
,for,O
,cytokeratin,B-B.GENE
,in,O
,all,O
,9,O
,cases,O
,in,O
,which,O
,myxoid,O
,melanoma,O
,remained,O
,in,O
,the,O
,block,O
,after,O
,previous,O
,sections,O
,.,O
Sentence: 2,Chloramphenicol,B-B.GENE
,acetyltransferase,I-I.GENE
,assays,O
,examining,O
,the,O
,ability,O
,of,O
,IE86,B-B.GENE
,to,O
,repress,O
,activity,O
,from,O
,the,O
,HCMV,O
,major,O
,IE,B-B.GENE
,promoter,I-I.GENE
,or,O
,activate,O
,the,O
,HCMV,B-B.GENE
,early,I-I.GENE
,promoter,I-I.GENE
,for,O
,the,O
,2,O
,.,O
,2,O
,-,O
,kb,O
,class,O
,of,O
,RNAs,O
,demonstrated,O
,the,O
,functional,O
,integrity,O
,of,O
,the,O
,IE86,B-B.GENE
,protein,I-I.GENE
,.,O
Sentence: 3,A,O
,new,O
,DNA,B-B.GENE
,repair,I-I.GENE
,gene,I-I.GENE
,from,O
,Schizosaccharomyces,O
,pombe,O
,with,O
,homology,O
,to,O
,RecA,B-B.GENE
,was,O
,identified,O
,and,O
,characterized,O
,.,O
Sentence: 4,Our,O
,study,O
,also,O
,demonstrated,O
,significant,O
,increases,O
,in,O
,the,O
,number,O
,of,O
,larger,O
,myelinated,O
,fibers,O
,crossing,O
,the,O
,repair,O
,site,O
,in,O
,comparison,O
,with,O
,the,O
,neonatal,O
,and,O
,adult,O
,groups,O
,(,O
,p,O
,<,O
,0,O
,.,O
,4,O
,),O
,.,O
Sentence: 5,Cloning,O
,and,O
,sequencing,O
,of,O
,the,O
,upstream,O
,region,O
,of,O
,pepX,B-B.GENE
,revealed,O
,the,O
,presence,O
,of,O
,two,O
,ORFs,O
,of,O
,360,O
,and,O
,1,O
,",",O
,338,O
,bp,O
,that,O
,were,O
,shown,O
,to,O
,be,O
,able,O
,to,O
,encode,O
,proteins,O
,with,O
,high,O
,homology,O
,to,O
,GlnR,B-B.GENE
,and,O
,GlnA,B-B.GENE
,proteins,I-I.GENE
,",",O
